jdate,q_ref0,q_ref1,q_ref2,q_ref3,w_ref0,w_ref1,w_ref2,a_ref0,a_ref1,a_ref2
2459000.5625462965,0.268549765908738,0.6292349459280776,-0.4123057921442205,-0.6016214256636628,-3.63542775713105e-05,-0.0001125499522100693,-0.0011153040636144313,-0.005996043216725339,-0.0036484619098525895,-0.00813017253762016
2459000.5625694445,0.2678550551972991,0.6296169108388228,-0.41161201761656074,-0.6020064467633663,-3.6492827539500523e-05,-0.00011263403549077852,-0.0011154864717056825,-0.005990428370232048,-0.003665204779337581,-0.008114265061328887
2459000.5625925926,0.26715994324847125,0.6299980745105519,-0.410917542643204,-0.6023908730919993,-3.663161071381109e-05,-0.00011271963669614262,-0.0011156797219963467,-0.006000640748678612,-0.003730901606495622,-0.008582999052588901
2459000.5626157406,0.2664644308511806,0.63037843574396,-0.4102223681538333,-0.6027747037711647,-3.677063347473511e-05,-0.0001128067614801304,-0.0011158838306176365,-0.005994901641370057,-0.0037476701589421488,-0.0085670866148785
2459000.562638889,0.2657685047519631,0.6307580009866485,-0.4095264810400598,-0.6031579456495441,-3.690915374266802e-05,-0.00011289314074830115,-0.001116076348214726,-0.005973145991922927,-0.0037153960677865864,-0.008065901476855713
2459000.562662037,0.2650721937404637,0.6311367537700172,-0.40882991023401377,-0.6035405824336183,-3.7047169292931466e-05,-0.00011297877135447773,-0.001116257253712838,-0.0059755023727437965,-0.0037567635248438357,-0.0082921108662746
2459000.562685185,0.2643754845993437,0.6315147005474742,-0.4081326426689182,-0.6039226209734003,-3.7185795870514475e-05,-0.00011306706404219343,-0.001116460240154063,-0.005977642765864773,-0.0037980298844410383,-0.00851795217581069
2459000.5627083336,0.26367836407875117,0.631891847709348,-0.4074346652227434,-0.6043040680733919,-3.732391329607139e-05,-0.000113154606886214,-0.0011166516051781261,-0.005955599408295478,-0.003765605533449092,-0.008015690806583086
2459000.5627314816,0.26298086102934565,0.6322681788827155,-0.4067360069274579,-0.6046849075124212,-3.746151934311162e-05,-0.00011324139843961234,-0.0011168313386704235,-0.00594973883075112,-0.0037823423001706272,-0.007998405753772012
2459000.5627546296,0.2622829622227954,0.6326437004708713,-0.40603665468978045,-0.6050651461045249,-3.7599362673813646e-05,-0.00011332971437624456,-0.0011170218997323038,-0.005960121205810711,-0.0038483413875433346,-0.00846658358686223
